date,		yhat, 		 yhat_upper,  yhat_lower 
2031-11-01, 56190382.62, 58625732.02, 53623875.75 
2031-12-01, 55212203.88, 57594096.06, 52459724.39 
2032-01-01, 55521927.87, 58050875.59, 52822252.77 
2032-02-01, 55172536.66, 57496164.52, 52631374.12 
2032-03-01, 57628044.29, 60070019.47, 55027852.52 
2032-04-01, 55111978.52, 57579189.59, 52383073.52 
2032-05-01, 53545472.60, 56221176.17, 50842829.08 
2032-06-01, 53167878.10, 55834910.46, 50353697.31 
2032-07-01, 54355034.31, 56896119.27, 51499582.66 
2032-08-01, 55089591.14, 57709195.31, 52258248.40 
2032-09-01, 55654595.44, 58353852.91, 52854103.50 
2032-10-01, 57036197.99, 59838103.26, 54129363.27 
2032-11-01, 55497184.45, 58227500.84, 52582096.10 
2032-12-01, 56581564.25, 59350246.23, 53654361.70 
2033-01-01, 57335358.75, 60248646.49, 54364071.58 
2033-02-01, 56477002.13, 59356849.38, 53368583.99 
2033-03-01, 58486261.12, 61394431.46, 55519281.98 
2033-04-01, 56528866.63, 59539510.74, 53479072.71 
2033-05-01, 55269909.58, 58284526.26, 51998895.80 
2033-06-01, 54616331.45, 57696961.86, 51523529.70 
2033-07-01, 55326784.11, 58419080.32, 52161194.97 
2033-08-01, 56155084.99, 59301957.66, 52933486.10 
2033-09-01, 56782460.40, 59786812.25, 53480830.75 
2033-10-01, 58157944.70, 61249370.80, 54834211.64 
2033-11-01, 57419699.17, 60689642.24, 54237594.60 
