date, 		yhat, 		 yhat_upper,  yhat_lower  
2031-11-01, 52629474.45, 61110813.40, 43122863.29 
2031-12-01, 52615019.66, 61433987.41, 42953915.29 
2032-01-01, 52901419.78, 61968369.51, 42928777.11 
2032-02-01, 53146803.57, 62174321.55, 43105209.31 
2032-03-01, 53663154.83, 62892289.37, 43457704.65 
2032-04-01, 53593624.36, 62837886.21, 43328015.55 
2032-05-01, 53094915.94, 62565082.18, 42592035.08 
2032-06-01, 52597391.73, 62267196.79, 41963806.19 
2032-07-01, 52417721.52, 62282880.06, 41567435.81 
2032-08-01, 52504261.25, 62311465.92, 41335414.68 
2032-09-01, 52811887.49, 63089075.29, 41501148.74 
2032-10-01, 53230309.44, 63597628.51, 41931860.48 
2032-11-01, 53364950.83, 63720706.44, 41785658.58 
2032-12-01, 53700875.83, 64250030.94, 41944594.24 
2033-01-01, 54057970.93, 64516979.37, 42065135.89 
2033-02-01, 54003335.79, 65088136.74, 41992475.25 
2033-03-01, 54626763.15, 65537490.06, 42431762.40 
2033-04-01, 54608954.18, 65825374.86, 42268797.64 
2033-05-01, 54213257.24, 65658384.38, 41720076.18 
2033-06-01, 53729011.26, 65313376.85, 41038959.21 
2033-07-01, 53473940.00, 65257030.60, 40675671.56 
2033-08-01, 53535116.34, 65398650.30, 40518487.51 
2033-09-01, 53792689.51, 65912597.82, 40629123.13 
2033-10-01, 54253970.08, 66497561.39, 41084116.80 
2033-11-01, 54529053.47, 66798658.97, 41116623.09 
