date,predicted
2023-12-01,41886412.95240838
2024-01-01,42218533.683367334
2024-02-01,42281084.734016076
2024-03-01,42612305.49060756
2024-04-01,42328859.9560887
2024-05-01,41840603.451474614
2024-06-01,41619090.78325188
2024-07-01,41266168.78924617
2024-08-01,41098689.625095546
2024-09-01,41143383.31288651
2024-10-01,41432013.90074838
2024-11-01,41750280.38390866
2024-12-01,41886412.95240838
2025-01-01,42218533.683367334
2025-02-01,42281084.734016076
2025-03-01,42612305.49060756
2025-04-01,42328859.9560887
2025-05-01,41840603.451474614
2025-06-01,41619090.78325188
2025-07-01,41266168.78924617
2025-08-01,41098689.625095546
2025-09-01,41143383.31288651
2025-10-01,41432013.90074838
2025-11-01,41750280.38390866
2025-12-01,41886412.95240838
2026-01-01,42218533.683367334
2026-02-01,42281084.734016076
2026-03-01,42612305.49060756
2026-04-01,42328859.9560887
2026-05-01,41840603.451474614
2026-06-01,41619090.78325188
2026-07-01,41266168.78924617
2026-08-01,41098689.625095546
2026-09-01,41143383.31288651
2026-10-01,41432013.90074838
2026-11-01,41750280.38390866
2026-12-01,41886412.95240838
2027-01-01,42218533.683367334
2027-02-01,42281084.734016076
2027-03-01,42612305.49060756
2027-04-01,42328859.9560887
2027-05-01,41840603.451474614
2027-06-01,41619090.78325188
2027-07-01,41266168.78924617
2027-08-01,41098689.625095546
2027-09-01,41143383.31288651
2027-10-01,41432013.90074838
2027-11-01,41750280.38390866
2027-12-01,41886412.95240838
2028-01-01,42218533.683367334
2028-02-01,42281084.734016076
2028-03-01,42612305.49060756
2028-04-01,42328859.9560887
2028-05-01,41840603.451474614
2028-06-01,41619090.78325188
2028-07-01,41266168.78924617
2028-08-01,41098689.625095546
2028-09-01,41143383.31288651
2028-10-01,41432013.90074838
2028-11-01,41750280.38390866
2028-12-01,41886412.95240838
2029-01-01,42218533.683367334
2029-02-01,42281084.734016076
2029-03-01,42612305.49060756
2029-04-01,42328859.9560887
2029-05-01,41840603.451474614
2029-06-01,41619090.78325188
2029-07-01,41266168.78924617
2029-08-01,41098689.625095546
2029-09-01,41143383.31288651
2029-10-01,41432013.90074838
2029-11-01,41750280.38390866
2029-12-01,41886412.95240838
2030-01-01,42218533.683367334
2030-02-01,42281084.734016076
2030-03-01,42612305.49060756
2030-04-01,42328859.9560887
2030-05-01,41840603.451474614
2030-06-01,41619090.78325188
2030-07-01,41266168.78924617
2030-08-01,41098689.625095546
2030-09-01,41143383.31288651
2030-10-01,41432013.90074838
2030-11-01,41750280.38390866
2030-12-01,41886412.95240838
2031-01-01,42218533.683367334
2031-02-01,42281084.734016076
2031-03-01,42612305.49060756
2031-04-01,42328859.9560887
2031-05-01,41840603.451474614
2031-06-01,41619090.78325188
2031-07-01,41266168.78924617
2031-08-01,41098689.625095546
2031-09-01,41143383.31288651
2031-10-01,41432013.90074838
2031-11-01,41750280.38390866
2031-12-01,41886412.95240838
2032-01-01,42218533.683367334
2032-02-01,42281084.734016076
2032-03-01,42612305.49060756
2032-04-01,42328859.9560887
2032-05-01,41840603.451474614
2032-06-01,41619090.78325188
2032-07-01,41266168.78924617
2032-08-01,41098689.625095546
2032-09-01,41143383.31288651
2032-10-01,41432013.90074838
2032-11-01,41750280.38390866
2032-12-01,41886412.95240838
2033-01-01,42218533.683367334
2033-02-01,42281084.734016076
2033-03-01,42612305.49060756
2033-04-01,42328859.9560887
2033-05-01,41840603.451474614
2033-06-01,41619090.78325188
2033-07-01,41266168.78924617
2033-08-01,41098689.625095546
2033-09-01,41143383.31288651
2033-10-01,41432013.90074838
2033-11-01,41750280.38390866
